pickup_hour,trip_count,tmpf,dwpf,relh,sknt,mslp,p01i,forecast,error,is_forecast,hour,weekday,day,is_weekend
2023-01-01 01:00:00,87,53.0,51.0,92.89,6.0,1007.2,0.0,,,0,1,6,1,1
2023-01-01 02:00:00,85,51.5,49.5,92.5,6.0,1007.2,0.0,,,0,2,6,1,1
2023-01-01 03:00:00,70,49.0,47.0,92.77,5.0,1008.1,0.0,,,0,3,6,1,1
2023-01-01 04:00:00,33,48.0,46.0,92.74,4.0,1008.4,0.0,,,0,4,6,1,1
2023-01-01 05:00:00,23,49.0,47.0,92.77,7.0,1008.9,0.0,,,0,5,6,1,1
2023-01-01 06:00:00,13,48.0,46.0,92.74,9.0,1009.8,0.0,,,0,6,6,1,1
2023-01-01 07:00:00,23,48.0,46.0,92.74,8.0,1010.6,0.0,,,0,7,6,1,1
2023-01-01 08:00:00,25,47.0,44.0,89.92,9.0,1011.6,0.0,,,0,8,6,1,1
2023-01-01 09:00:00,39,51.0,46.0,82.62,5.0,1012.1,0.0,,,0,9,6,1,1
2023-01-01 10:00:00,46,54.0,43.0,66.24,10.0,1013.6,0.0,,,0,10,6,1,1
2023-01-01 11:00:00,69,55.0,41.0,59.13,13.0,1014.0,0.0,,,0,11,6,1,1
2023-01-01 12:00:00,73,56.0,38.0,50.71,8.0,1013.3,0.0,,,0,12,6,1,1
2023-01-01 13:00:00,76,56.0,35.0,45.4,16.0,1013.6,0.0,,,0,13,6,1,1
2023-01-01 14:00:00,71,57.0,33.0,40.28,10.0,1013.3,0.0,,,0,14,6,1,1
2023-01-01 15:00:00,99,57.0,32.0,38.54,9.0,1013.7,0.0,,,0,15,6,1,1
2023-01-01 16:00:00,96,57.0,33.0,40.28,8.0,1014.1,0.0,,,0,16,6,1,1
2023-01-01 17:00:00,77,54.0,36.0,50.42,6.0,1014.2,0.0,,,0,17,6,1,1
2023-01-01 18:00:00,84,49.0,36.0,60.88,4.0,1014.5,0.0,,,0,18,6,1,1
2023-01-01 19:00:00,82,52.0,35.0,52.36,7.0,1016.0,0.0,,,0,19,6,1,1
2023-01-01 20:00:00,82,49.0,35.0,58.75,3.0,1016.2,0.0,,,0,20,6,1,1
2023-01-01 21:00:00,66,46.0,35.0,65.52,4.0,1016.8,0.0,,,0,21,6,1,1
2023-01-01 22:00:00,31,49.0,37.0,63.34,4.0,1017.0,0.0,,,0,22,6,1,1
2023-01-01 23:00:00,29,50.0,36.0,58.44,4.0,1017.1,0.0,,,0,23,6,1,1
2023-01-02 00:00:00,18,48.0,37.0,65.51,3.0,1017.0,0.0,,,0,0,0,2,0
2023-01-02 01:00:00,21,48.0,37.0,65.51,3.0,1016.9,0.0,,,0,1,0,2,0
2023-01-02 02:00:00,13,47.0,37.0,68.27,3.0,1017.1,0.0,,,0,2,0,2,0
2023-01-02 03:00:00,5,45.0,36.0,70.53,3.0,1018.2,0.0,,,0,3,0,2,0
2023-01-02 04:00:00,9,45.0,37.0,73.37,0.0,1018.0,0.0,,,0,4,0,2,0
2023-01-02 05:00:00,9,44.0,37.0,75.93,0.0,1018.4,0.0,,,0,5,0,2,0
2023-01-02 06:00:00,19,43.0,37.0,79.19,4.0,1018.6,0.0,,,0,6,0,2,0
2023-01-02 07:00:00,34,44.0,37.0,75.93,6.0,1019.5,0.0,,,0,7,0,2,0
2023-01-02 08:00:00,41,46.0,37.0,70.64,5.0,1020.1,0.0,,,0,8,0,2,0
2023-01-02 09:00:00,77,45.0,38.0,76.01,6.0,1020.7,0.0,,,0,9,0,2,0
